date,title,news
2022/08/31,《國際經濟》能源危機加劇 俄羅斯再斷氣72小時,<p>俄羅斯最新宣布，從周三開始繼續暫停北溪一號對歐洲的天然氣輸送。此決定再次升高了德國陷入衰退和實行能源配給制的風險。</p><p></p><p>俄羅斯天然氣工業(Gazprom)稱，北溪一號進行維護，從8月31日(周三)當地凌晨2點到9月2日凌晨2點將不會有天然氣輸出。</p><p></p><p>Gazprom上周宣布北溪一號進行三天維修，原定在本周三(31日)清晨恢復營運。</p><p></p><p>歐洲各國政府此前一直擔心俄羅斯將延長中斷供應的時間。</p><p></p><p>與七月時進行10天的維修工作不同，此次的維修工作是由Gazprom執行，而不是由西方國家的北溪公司(Nord Stream AG)進行。</p><p></p><p>Gazprom說，需要對管線中的壓縮機進行維護保養，因此需要停機。</p><p></p><p></p><p></p><p>自俄羅斯在烏克蘭發起軍事行動以來，俄羅斯完全切斷了對保加利亞、丹麥、芬蘭、荷蘭和波蘭的天然氣供應，並透過其他管線減少了天然氣供應。</p><p></p><p>北溪一號經由波羅的海通往德國，是俄羅斯天然氣輸往德國的最重要管線。</p><p></p><p>此進一步的限制供應，將導致能源危機進一步加劇。歐洲能源危機已使天然氣批發價格飆升逾400%，並給消費者和企業帶來痛苦的生活成本危機，並迫使各國政府花費數十億美元減輕負擔。</p><p></p><p></p>
2022/08/31,感謝國軍 蔡英文請經濟部結合民間推軍人專屬優惠,<p>九三軍人節即將到來，蔡英文總統今天透露，這段時間，國軍的任務繁重，肩負的壓力也很大。她日前請經濟部長王美花一起思考如何團結民間力量向國軍表達感謝。這幾天，經濟部號召民間企業，推出「軍人專屬優惠」，包括四大超商、許多知名的連鎖餐飲業都加入敬軍行列。</p><p></p><p></p><p></p><p>蔡英文在臉書表示，這段時間，我們國軍的任務繁重，肩負的壓力也很大。除了到第一線給國軍弟兄姊妹加油打氣。她也請經濟部王美花部長一起思考，如何團結民間的力量，一起向國軍弟兄姊妹表達感謝。</p><p></p><p></p><p></p><p>她說，這個星期六就是「九三軍人節」，這幾天，經濟部號召民間企業，推出「軍人專屬優惠」，包括四大超商、許多知名的連鎖餐飲業都推出一系列敬軍優惠方案。「王美花部長告訴我，不到一天的時間，就有非常多的民間企業踴躍響應，讓我很感動，也很感謝大家對國軍的支持」。</p><p></p><p></p><p></p><p>她相信，這些方案就是展現台灣社會感受到國軍的辛勞與付出，希望用行動感謝國軍、力挺國軍的團結力道。謝謝國軍在第一線捍衛國家安全，也謝謝大家共同支持國軍。「我們一起當國軍的後盾，團結守護台灣」。</p>
2022/08/31,經濟受Fed放鷹拖累恐衰退 資金流入債券資產,<p>雖然美國7月通膨回落，但聯準會（Fed）鷹派升息態度堅定，經濟衰退擔憂，資金流入固定收益市場，統計過去一周整體固定收益型ETF淨流入20.85億美元，以美國、全球與歐洲分別獲16.79億美元、4.15億美元與2.67億美元淨流入，新興市場與新興市場當地貨幣債遭淨流出0.22億美元與0.66億美元。</p><p></p><p>以投資信評類別觀察，投資級固定收益ETF獲淨流入54.93億美元，非投資級固定收益ETF遭淨流出32.17億美元。另就美國投資公司協會（ICI）資料，截至8月24日美國貨幣基金規模為4.57兆美元，較前一周增加0.18％。</p><p></p><p>富蘭克林坦伯頓穩定月收益基金經理人愛德華．波克表示，Fed主席鮑爾這次演說，對提高Fed信譽和有效性邁出重要一步，意味未來即使失業率上揚，也不會改變控制通膨的決心。通膨環境與金融市場對更加鷹派政策的反應，使得經濟成長前景看法進一步下調。</p><p></p><p>但目前嚴峻的市場環境，使得焦點放在風險上，卻忽略市場波動下，其實仍潛藏上檔投資機會，例如高品質、營運模式具備防禦性，及獲利、現金流與股利穩定的企業。</p><p></p><p>美盛全球多重策略基金經理人肯尼思·里奇指出，鮑爾重申將採取行動降低通膨的決心，綜合其他官員談話，點出未來貨幣政策的兩個方向，一是未來升息步伐可能放緩，二是相較於持續升息直至通膨降至2％，Fed官員傾向將利率調升至限制性水準後維持在高檔一段時間。</p><p></p><p>儘管通膨仍具挑戰，預料後續將顯著趨緩，主要央行緊縮程度，可能不需如市場預期那麼大，料成熟國家公債殖利率，將低於或持平於目前水準，極端的利率波動期可能已過，利率波動趨緩下的債市投資機會仍不看淡。</p>
2022/08/31,《國際經濟》汽油價跌回俄烏戰前 美國人加油壓力緩解,<p>周二美國汽油批發價格跌回了俄羅斯入侵烏克蘭之前的價位，意味著未來幾周其民眾在加油時的壓力可望進一步緩解。</p><p></p><p>周二美國汽油期貨價格收在每加侖2.6944美元，創下2月18日來新低。美國是全球最大的汽油消費國。</p><p></p><p>俄羅斯總統普丁在今年2月24日清晨發表全國電視演說，以「去軍事化」和「去納粹化」為名對烏克蘭發動「特別軍事行動」，正式揮軍入侵烏克蘭。隨之而來的一連串國際制裁則帶動整個能源市場的價格創下多年新高。</p><p></p><p></p><p></p><p>能源成本向來是推升全球通膨的主要原因。美國汽油期貨在6月初升至每加侖4.31美元，創下歷史新高。根據美國汽車協會（AAA）的數據，兩周後、在6月中旬零售汽油價格便站上了5.016美元，亦創下歷史新高。</p><p></p><p>惟隨著夏季接近尾聲、需求持續下滑，汽油價格也開始回落。Again Capital LLC合夥人John Kilduff表示，從現在起需求只會惡化。</p><p></p><p>此外，全球經濟可能陷入衰退，以及國家戰備儲油以前所未見的規模緊急釋油，亦有助於抑制急升的原油和汽油價格。</p><p></p><p>與6月創下的歷史高點相比，美國汽油批發價格已下滑37%，而零售價格下跌23%。每個州的汽油價格都在走跌，其中以中西部地區跌最多。</p><p></p><p></p>
2022/08/31,嘉藥獲金育獎雙大獎 培育企業人才備受肯定,<p>經濟部中小企業處日前公布111年度「金育獎-績優創育機構及績優經理人」得獎名單，嘉南藥理大學研究發展處創新育成中心榮獲績優創育機構及績優經理人獎雙項肯定，金育獎旨在表揚具高度服務熱忱及輔導能量之創育機構及經理人，肯定與鼓勵其在輔導及服務中小企業卓越表現，此次一舉獲得雙料獎項，足以顯示嘉藥培育企業能量受到肯定。</p><p></p><p></p><p></p><p>嘉藥創新育成中心自94年9月成立以來，結合該校「智慧健康」及「食藥粧安」發展主軸、「物聯網」創意思維及地方創生與協助5+2產業發展，與國立臺南大學創新育成中心及臺南市工商發展投資策進會共組「台南市在地產業創生機構聯盟」，佈局「民生化工、生技醫藥及電子資訊」重點產業，深耕「美粧食品」等關鍵產業，希望發揮地方特色、發展出最適合的在地經濟。</p><p></p><p></p><p></p><p>嘉藥創新育成中心資深經理人暨執行長陳婉嫺表示，對榮獲績優經理人獎倍感肯定與榮耀，她也指出少子化、高齡化、青壯年人口外移、城鄉發展不均，是現今社會要面對的問題，透過培育企業創新轉型，提供企業人才培訓、技術研發等，發展出能夠被市場需要的商業模式，加深人與土地的連結，才能讓地方或品牌長久運營，找回在地活力，使偏鄉也能漸進發展。</p><p></p><p></p><p>嘉藥副校長兼研發長張翊峰認為，企業在創業過程中，經由多方資源串接及資源挹注，可望協助企業穩定成長，共創區域資源發展，學校也能善盡社會責任，為地方產業一份心力。</p>
2022/08/31,《國際經濟》利率直直升 美明年房價漲幅估創逾10年新低,<p>根據路透社調查，受訪分析師預期負擔能力惡化將削弱買房需求，美國飆升的房價可能在明年創下十多年來最疲弱的漲幅。他們認為房價要下跌兩位數才算公道，但也坦承這可能要等很多年，也可能永遠不會發生。</p><p></p><p>在過去這兩年的疫情期間，受惠於砍到近零的利率水準，供不應求的房市迎來了罕見的榮景，美國房價在這段期間大漲超過40%，讓許多首購族被拒之門外。</p><p></p><p>惟聯準會自3月以來一路升息了225個基點，且未來幾個月還將繼續升息，美國的房貸利率隨之走升，對借貸成本高度敏感的產業勢必會放緩。</p><p></p><p></p><p></p><p>根據路透社在8月12日至30日所做的調查，受訪的約30名房地產分析師認為今年美國房價平均將上漲14.8%，較目前的約上漲20%放緩，但仍高於5月調查所預估的上漲10.3%。</p><p></p><p>這些預測是基於S&amp;P CoreLogic Case-Shiller全美20大城市房價綜合指數。</p><p></p><p>受訪經濟學家預估明年美國房價僅將上漲2.0%，不到5月份預測的一半。如果這個預測應驗，將創下2012年以來的最疲弱的漲幅，並為十多年以來房價漲幅首次低於總體消費者通膨。</p><p></p><p>美西銀行（Bank of the West）首席經濟學家Scott Anderson表示，由於買房能力變差，以及經濟和金融環境惡化，房價上漲將戛然而止。在經濟衰退期間，房價可能猛然修正，也可能隨著時間逐漸修正。現在無論你怎麼看，房價都非常昂貴。</p><p></p><p>大多數受訪分析師同意美國房價被高度高估，且大部分受訪者認為房價要下跌10%或更多才算公道，也有少許分析師認為房價應該下跌至少30%。</p><p></p><p>上一次美國房價出現2位數跌幅是在全球金融危機期間，當時房價總共跌掉了約三分之一。</p><p></p><p>儘管約三分之一受訪者預期美國房價將在未來兩年下跌，但跌幅料將都是個位數。大多數受訪者表示，房價需要數年時間才可能達到公平的水準，但也有少數受訪者認為公平的房價永遠不會發生。</p><p></p><p></p>
2022/08/31,7月製造業景氣燈號連5黃藍燈 信號值今年最低,<p>全球經濟下行壓力升溫，外銷訂單由正轉負，突顯出全球終端市場需求疲軟，直接影響台灣製造業的景氣。台灣經濟研究院31日公布7月製造業景氣概況，製造業景氣信號值由上（6）月的12.18分，減少0.30分至本月的11.88分，燈號續為代表景氣低迷的黃藍燈。</p><p></p><p>上述信號值11.88分為今年各月的最低值，且連續5個亮出黃藍燈。</p><p></p><p>台經院景氣預測中心分析，全球通膨壓力未減，影響歐美國家的經濟表現，中國堅持清零封控衝擊其產銷活動，加上房地產持續低迷，為全球供應鏈及需求帶來更多不確定性。</p><p></p><p>國內製造業雖然受惠新興科技應用與數位轉型推展，支撐進出口續呈雙位數成長，仍然不克全球經濟下行壓力升溫，全球終端市場需求疲軟，外銷訂單衰退。台經院調查廠商看法，製造業廠商仍多看壞未來半年景氣表現。</p><p></p><p>台經院提醒，下半年經濟成長存有許多變數，主要有三大部份特別謹慎因應：一、中國近來的南旱北澇現象，衍生為限電的不定期發生，影響工業生產不確定性；二、俄烏戰事持續，國際農工、能源價格仍維持高檔震盪整理，通膨壓力未能有效壓抑，恐影響終端消費力；三、北半球極端氣候酷暑現象，歐洲河運受阻影響原物料及化工產品運輸、乾旱造成酪農減產、電價上漲等問題。</p>
2022/08/31,全球股基金 寵物、永續主題熱,<p>過去三個月，根據理柏資訊顯示，環球股票基金前30強不但繳出逾7％表現，在主題上也涵蓋多種主題，包括：顛覆式創新、全球機會、永續、再生能源與寵物新經濟等，相當多元。</p><p></p><p>法人表示，很多投資機會都是來自生活長期主題持續翻新與社會結構改變。以寵物主題為例，寵物指數與美國公債、拉美市場、能源及東南亞等領域相關性低，可適度納入投組，強化分散效果，提高多樣性及投資效率。</p><p></p><p>從投資趨勢來看，近年來主題式投資的抬頭也凸顯策略不再侷限於特定產業或區域，跨產業趨勢等主題式基金，更有助於掌握各類顛覆式創新所帶來的各種輪動機會。</p><p></p><p>以寵物經濟為例，近十年來寵物經濟規模持續穩步向上，周邊產業商機也成為人口結構改變及後疫情下的另一個亮點。回頭去看寵物經濟發展的脈絡，在寵物經濟背後的長期驅動力，主要是有銀髮族、千禧世代及新興市場飼主和寵物市場的影響力。受惠於全球人口結構、寵物與飼主的關係愈趨親密，加上疫情後、生活作息改變的推波助瀾，飼主對於寵物的支出金額日益上升。</p><p></p><p>法人表示，在這股趨勢抬頭下，與寵物商機息息相關的，包括核心消費中的家用商品及食物；醫療健護如寵物相關的醫療服務、製藥及醫療設備；非必須消費中的線上零售；金融相關的寵物保險等，都是寵物新經濟可以投資的範疇。</p><p></p><p>隨寵物逐步躍升為家庭的一份子，且無論經濟狀況如何，寵物仍都需日常食品、醫療保健和保險，加上核心消費較少受景氣影響，布局領域亦跨越跨多種產業，更有機會參與更多新興產業成長機會及併購，亦可因應循環性通膨壓力、掌握長線增值潛力。</p><p></p><p>富蘭克林證券投顧表示，美國面臨高通膨、貨幣政策緊縮及經濟成長放緩的環境，整體基本面不確定性仍高，建議投資布局攻守兼備，以採取靈活配置策略的美國價值平衡型基金為核心，股票投資建議採取分批加碼及定期定額策略介入，看好基礎建設及公用事業產業兼具抗景氣循環和政策做多利基，科技和生技產業型基金短線波動仍大但長期創新趨勢正向，維持定期定額策略。</p>
2022/08/31,龔明鑫：十年引進40萬海外人才,<p>國發會主委龔明鑫30日在「人才永續國際論壇」表示，隨著老化，工作年齡人口快速下滑，台灣需要引進更多海外人才，來協助產業發展，依國發會與教育部、經濟部等部會達成的共識，未來十年要引進海外人才40萬人。</p><p></p><p>龔明鑫應邀在「天下學習 X Cheers 2022人才永續國際論壇」演講，他表示，人才關注的第一是舞台，第二是薪水，過去代工的年代，為尋求低成本，人才、投資都往外流，自2016年起政府藉由5+2產業為人才創造舞台，尤其是數位轉型人才，他強調，如今很多物聯網（AIoT）、智慧城市所提供的薪水，都比台積電的薪水高非常多。</p><p></p><p>龔明鑫指出，上周國發會公布人口推估，未來幾年老年人口將快速增加，工作年齡人口（15～64歲）也將快速下降，我國將面臨人力不足的問題，為此國發會與教育部、僑委會、經濟部及勞動部研議，未來十年將引進40萬海外人才。</p><p></p><p>如何讓攬才人數目標40萬達標？龔明鑫表示，政府正循三個方向推動，第一循外國人才專法，給予外國特定專業人才就業金卡，讓他們三年內可隨時進出台灣，以吸引人才留台。第二，讓更多僑外生留台，目前一年僑外生（學位生）畢業人數1萬多人，未來希望能達到4萬，如果60％留下，每年便有2～3萬人留在台灣，十年就有20～30萬。第三，外籍移工有許多人很優秀，他們可以在工作後半工半讀留下來，也可以成為中階技術人力留台。</p><p></p><p>龔明鑫表示：「國發會、教育部等部會在引進海外人才的心態上已經改變，大家都有個認知，就是歡迎所有希望到台灣打拚的人才。」</p><p></p><p>國發會官員表示，國發會、教育部、勞動部、經濟部、僑委會五首長自去年起定期研議「人口移民政策」，總計已召開七次會議，這一攬才人數目標40萬，即五首長會議拍板的。</p>
2022/08/31,政策利率再下調 盛松成：可能性不大,"<p>大陸經濟復甦不如預期，市場關注貨幣政策是否繼續維持寬鬆。中國人民銀行調查統計司前司長盛松成30日表示，目前大陸經濟恢復和放緩並存，但預期持續下調政策利率的可能性不大。</p><p></p><p>證券時報報導，中歐國際工商學院教授盛松成出席第二屆中歐資管論壇演講時表示，雖然近日人行下調了中期借貸便利（MLF）和逆回購利率，但降息幅度有限、操作規模明顯縮減，既支援實體經濟，也抑制資金空轉。隨著政策利率下調，8月貸款市場報價利率（LPR）也採取非對稱降息，此舉有助激發企業和居民中長期貸款需求，也可減輕居民還貸壓力，緩解房地產業困難。</p><p></p><p>盛松成分析，過往逆回購平均操作規模都在人民幣（下同）百億元以上，但7、8月份的平均規模只有40億元和20億元，可見市場資金充裕。他認為，7月信貸收支的人民幣貸款增加6,790億元，而社會融資的人民幣貸款金增加4,088億元，兩者相差高達2,702億元，代表商業銀行很多貸款實則流入金融體系而非實體經濟，形成某種程度上的「資金空轉」。</p><p></p><p>他進一步解釋，7月份票據融資較上年同期多增1,365億元，占當月人民幣貸款增量的46.2％。這表明實體經濟貸款需求不振，銀行必須透過票據貼現完成貸款指標。資金充裕之下若再下調政策利率，可能刺激金融機構「借短買長」，甚至導致高等級信用債與10年期國債殖利率倒掛。</p><p></p><p>此外，也可能導致企業以較低成本發債後，並沒有擴大生產與投資的動力，而是將融到的錢轉手投資於銀行高收益的理財和結構性存款等產品，反而對實體經濟不利。因此他認為繼續下調政策利率的可能性不高。</p>"
2022/08/31,柬埔寨人口販運 婦援會籲勿檢討被害人,<p>柬埔寨人口販運事件仍在國內持續燃燒，被害人常見處境大多為低薪、經濟困難、欠債且無力償還債務，相信人力銀行、網路平台跨國高薪求職機會或被熟識朋友鼓吹工作福利佳等，後期則以招待員工旅遊進行詐騙，婦援會呼籲大眾勿檢討被害人，對於好不容易逃離而返國被害人及其家屬應給予支持與關懷，企業可以提供就業機會，舒緩其經濟困難。</p><p></p><p></p><p></p><p>婦援會指出，不管是80年前的慰安婦，或是現今的柬埔寨被詐騙到國外工作的民眾，應都屬於人口販運被害人，婦女救援基金會從8月底展開柬埔寨人口販運被害人服務與防治工作，需要協助的被害人家屬，或返回台灣的被害人歡迎來電或來信聯繫。對於有意願捐款協助這些被害人的企業或民眾，歡迎捐款支持婦女救援基金會人口販運被害人服務。</p>
